################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.0312044271000410E+01 a       372     0    25     1    12
 -6.8935385525061585E+00 a       373     0    25     1    13
  4.4573558078888709E+01 a       374     0    25     1    14
 -1.8433168711216414E+01 a       375     0    25     1    15
  1.0469460322589047E+01 a       376     0    26     1     1
 -1.4723346701584726E+01 a       377     0    26     1     2
 -1.3393708006013591E-01 a       378     0    26     1     3
 -2.9942972081249547E+01 a       379     0    26     1     4
  8.1514886370183426E+00 a       380     0    26     1     5
 -1.0640015356872043E+01 a       381     0    26     1     6
 -6.7021209827329509E+00 a       382     0    26     1     7
  1.5866078435185116E+00 a       383     0    26     1     8
 -9.4070964237625478E+00 a       384     0    26     1     9
  2.2739812956443433E+01 a       385     0    26     1    10
  1.9602866128286870E+01 a       386     0    26     1    11
  6.1286003122386106E+00 a       387     0    26     1    12
  2.5810589522270835E+01 a       388     0    26     1    13
 -6.4801561529264271E+00 a       389     0    26     1    14
  1.5733096294206501E+01 a       390     0    26     1    15
 -1.7392388946226681E+01 a       391     0    27     1     1
  3.0027237528541846E+01 a       392     0    27     1     2
 -7.3684655006528388E-01 a       393     0    27     1     3
  1.5841421228742044E+01 a       394     0    27     1     4
 -5.7642206962220648E+00 a       395     0    27     1     5
 -3.4741215974798585E+01 a       396     0    27     1     6
 -1.9861121264951414E+01 a       397     0    27     1     7
  1.0400003068464901E+01 a       398     0    27     1     8
 -3.6875185538811688E+00 a       399     0    27     1     9
 -2.4675838327861012E+01 a       400     0    27     1    10
 -1.6201660341043578E+01 a       401     0    27     1    11
 -2.3883132505025322E+00 a       402     0    27     1    12
 -8.1473689176531590E+00 a       403     0    27     1    13
 -6.7464064221697351E+00 a       404     0    27     1    14
  1.9653359875754435E+00 a       405     0    27     1    15
  3.0611442461068354E+01 a       406     0    28     1     1
 -2.6907971211343941E+01 a       407     0    28     1     2
  1.4415731151083341E+01 a       408     0    28     1     3
  2.2889201402936365E+01 a       409     0    28     1     4
 -7.1810876933318655E+00 a       410     0    28     1     5
  9.0091315836697632E+00 a       411     0    28     1     6
  1.2830301174052456E+01 a       412     0    28     1     7
 -5.8431316473664168E+01 a       413     0    28     1     8
 -1.5075135373732529E+01 a       414     0    28     1     9
  2.3112497845361300E+01 a       415     0    28     1    10
 -8.0771841678554139E+00 a       416     0    28     1    11
  2.5559372610249849E+01 a       417     0    28     1    12
 -1.7175679412540319E+00 a       418     0    28     1    13
 -3.7919652183205148E+00 a       419     0    28     1    14
 -3.3814801162654270E+01 a       420     0    28     1    15
  3.3224508862820336E+01 a       421     0    29     1     1
  9.9112665268400431E+00 a       422     0    29     1     2
  3.9401256508681448E+00 a       423     0    29     1     3
  1.5724859190162462E+01 a       424     0    29     1     4
  2.8981355160913875E+01 a       425     0    29     1     5
  1.9976349930751756E+01 a       426     0    29     1     6
 -3.2877308301043051E+01 a       427     0    29     1     7
  3.8008546668373178E+01 a       428     0    29     1     8
 -2.4646893690351039E+01 a       429     0    29     1     9
 -7.8422278739909252E+00 a       430     0    29     1    10
 -2.9624633982179649E+01 a       431     0    29     1    11
  1.8655536845870344E+01 a       432     0    29     1    12
 -3.9446673100328987E+01 a       433     0    29     1    13
 -2.0575393671643898E+01 a       434     0    29     1    14
  1.7418208444517269E+01 a       435     0    29     1    15
 -3.2558543946521254E+01 a       436     0    30     1     1
  1.0090749000611009E+01 a       437     0    30     1     2
 -1.4318423804411214E+01 a       438     0    30     1     3
 -1.1488090267795517E+01 a       439     0    30     1     4
 -5.7570407507019794E-01 a       440     0    30     1     5
  8.8907124442224230E+00 a       441     0    30     1     6
 -1.4780155280147190E+01 a       442     0    30     1     7
  5.6103256135813417E-01 a       443     0    30     1     8
 -1.5649966664219683E+01 a       444     0    30     1     9
  1.4410179185490369E+01 a       445     0    30     1    10
 -3.8397504885724558E+01 a       446     0    30     1    11
  6.6356044581807598E+00 a       447     0    30     1    12
 -2.6421793482307073E+01 a       448     0    30     1    13
 -1.0228722556234304E+01 a       449     0    30     1    14
  2.7454621193462000E+01 a       450     0    30     1    15
 -6.2495106888562617E+00 a       451     0    31     1     1
  2.0104388141270540E+01 a       452     0    31     1     2
  1.3583803153433188E+01 a       453     0    31     1     3
 -8.7085804572506986E-01 a       454     0    31     1     4
 -1.0340391100294212E+01 a       455     0    31     1     5
  2.4859221106108353E-01 a       456     0    31     1     6
  9.5985838940437562E-01 a       457     0    31     1     7
 -1.5441381611921845E+01 a       458     0    31     1     8
  9.5444836656683574E+00 a       459     0    31     1     9
  1.1365372591790780E-01 a       460     0    31     1    10
  5.9141984009409487E+00 a       461     0    31     1    11
 -2.1722592560182676E+01 a       462     0    31     1    12
  1.5170026837967715E+01 a       463     0    31     1    13
  1.5378534718592256E+01 a       464     0    31     1    14
  1.0884460255103892E-01 a       465     0    31     1    15
  5.0409087079218118E+00 a       466     0    32     1     1
  9.5770839891512356E+00 a       467     0    32     1     2
  1.3053919135353793E+01 a       468     0    32     1     3
 -6.4112708523913042E+00 a       469     0    32     1     4
  1.6524604127534590E+00 a       470     0    32     1     5
  5.7964373852701243E+00 a       471     0    32     1     6
 -4.8308429800898480E+00 a       472     0    32     1     7
  1.1152182907556751E+01 a       473     0    32     1     8
  2.3165005814342997E+01 a       474     0    32     1     9
 -1.6765785946891501E+01 a       475     0    32     1    10
  5.9601613321831133E+00 a       476     0    32     1    11
  2.9920889990179598E+00 a       477     0    32     1    12
  1.0801424264350278E+01 a       478     0    32     1    13
  6.7727871828589956E+00 a       479     0    32     1    14
 -2.9002290240863395E+00 a       480     0    32     1    15
 -1.3260491421453651E+00 b       481     1     1
  2.9372869574000304E-01 b       482     1     2
 -4.0992272256263212E-01 b       483     1     3
  2.0744918422037038E+00 b       484     1     4
 -4.7901447358367921E+00 b       485     1     5
 -6.9606927271828967E-01 b       486     1     6
  1.1272146331424093E-01 b       487     1     7
 -3.7171518007475535E+00 b       488     1     8
 -7.7604145591080149E+00 b       489     1     9
 -5.1147859530347999E-02 b       490     1    10
 -3.9387044949595400E+00 b       491     1    11
  1.8710193078266663E-01 b       492     1    12
 -3.4531452831799099E+00 b       493     1    13
  1.5504284999146256E+00 b       494     1    14
 -2.8819415420400905E+00 b       495     1    15
  2.7216934587584225E+00 a       496     1     1     2     1
  8.9777231283936565E-01 a       497     1     1     2     2
